Title, Author,Genre,ISBN, Summary, ID,  Page Count, Total, Available
Harry Potter and the Deathly Hallows,J.K. Rowling,Fantasy,101,,1,250,20,20,
I Don't Have Enough Faith to Be Atheist,Someone,Non-Fiction,102,,2,200,20,20,
Mortal Instruments: City of Bones,Cassandra Clare,Supernatural,103,,3,225,20,20,
7 Habits of an Highly Effective Teen,Someone,Non-Fiction,104,,4,145,20,20,
The Giving Tree,Shel Silverstein,Children,105,,5,283,20,20,
Twilight,Stephenie Meyer,Romance,106,,6,200,20,20,
Mr. Perfect,Linda Howard,Mystery,107,,7,200,20,20,
Dear Killer,Katherine Ewell,Young Adult,108,,8,200,20,20,
Green Rider,Kristen Britain,Science-Fiction,109,,9,200,20,20,
Hamlet,William Shakespeare,Classic Literature,110,,10,200,20,20,
Matilda,Roald Dahl,Children,111,,11,200,20,19,
C.J.'s Fate,Kay Hooper,Romance,112,,12,200,20,20,
The First Prophet (Bishop Files),Kay Hooper,Supernatural,113,,13,200,20,20,
The Warrior Heir,Cinda Williams Chima,Fantasy,114,,14,200,20,20,
Dorothy Must Die,Danielle Paige,Young Adult,115,,15,200,20,20,
A Wrinkle in Time,Madeleine L'Engle,Fantasy,116,,16,200,20,20,
Great Expectations,Charles Dickens,Classic Literature,117,,17,200,20,20,
The Giver,Lois Lowry,Science-Fiction,118,,18,200,20,20,
The Diary of a Young Girl,Anne Frank,Non-Fiction,119,,19,200,20,20,
The Book Thief,Markus Zusak,Historical Fiction,120,,20,200,20,20,
True Grit,Charles Portis,Historical Fiction,121,,21,200,20,20,
In the Time of the Butterflies,Julia Alvarez,Historical Fiction,122,,22,200,20,20,
Julius Caeser,William Shakespeare,Classic Literature,123,,23,200,20,20,
Fablehaven,Brandon Mull,Fantasy,124,,24,200,20,20,
Cinder,Marissa Meyer,Science-Fiction,125,,25,200,20,20,
Keeper of the Lost Cities,Shannon Messenger,Children,126,,26,200,20,20,
Percy Jackson and the Lightning Thief,Rick Riordan,Young Adult,127,,27,200,20,20,
The Cuckoo's Calling,J.K. Rowling,Mystery,128,,28,200,20,20,
The 19th Christmas,James Patterson,Suspense,129,,29,200,20,20,
The Hate You Give,Angie Thomas,Young Adult,130,,30,200,20,20,
